imgName,entropyMooney,entropyGrayscale,structSim,selfSimilarityMooney,selfSimilarityGrayscale,PHOGcomplexityMooney,PHOGcomplexityGrayscale,anisotropyMooney,anisotropyGrayscale,edgeEntropyMooney,edgeEntropyGrayscale
001,1.75631193697805,7.35050509430528,0.354134125840165,0.52439,0.56992,6.2874,21.088,0.0014293,0.0012602,0.182301891932309,0.573023052990533
007,3.04618251925314,7.83411297103633,0.17641700060985,0.65547,0.67581,10.796,14.386,0.00069122,0.00029195,0.259272311327687,0.565985930973872
008,2.09871543604214,7.73923257887039,0.304084457181101,0.5181,0.53891,9.2955,11.041,0.0015703,0.00069493,0.221322903465825,0.407313509814578
009,1.867433384249,7.75357470362147,0.336164216004562,0.44506,0.44753,7.3215,4.3294,0.0017446,0.0012665,0.193136566772345,0.271202714885489
010,1.59783345935437,5.56503129089565,0.0907985489520151,0.41812,0.54948,6.2084,7.2984,0.0016043,0.00082201,0.183774269498736,0.478438382025242
013,2.45570875797256,7.75487821921179,0.30250945510151,0.57103,0.73293,8.3549,12.284,0.0012636,0.00058473,0.2128778253374,0.516666778568155
014,1.58764379397705,7.94478156223936,0.0857921601525024,0.43962,0.79444,5.3276,25.222,0.0014001,0.00021011,0.163340717060373,0.682838563784317
018,2.77718966796477,7.53745605213608,0.155413751301364,0.74802,0.674,18.041,13.52,0.00095689,0.00054369,0.362860781624916,0.577223265097901
019,1.63875653404743,7.4728714609582,0.418535691526722,0.46853,0.55275,5.8285,6.7673,0.0018545,0.00064796,0.151705433634557,0.400481201934645
020,1.6203012090278,7.59570533220924,0.213562911759819,0.48924,0.73018,4.6924,7.633,0.0013414,0.00030701,0.148538685410803,0.473305690049304
025,1.82063954127952,7.81944731209397,0.161940605842909,0.44418,0.69871,6.8465,23.945,0.0014426,0.0002984,0.202028465255502,0.637189546959603
026,2.05818572769095,7.35914374709013,0.215488449329561,0.53191,0.59053,9.3659,12.422,0.0014311,0.00040836,0.219991976960213,0.572334403779098
030,2.01904615258598,7.82598229832403,0.256005478289887,0.48753,0.69767,8.6074,12.386,0.0015499,0.0006344,0.206111458676616,0.512269626060983
031,1.86364065807944,6.76634649737769,0.285702475203272,0.39082,0.48037,3.2565,3.596,0.0014307,0.00060596,0.10614840418909,0.294059478843294
032,2.13352080434487,7.2238874744468,0.315820935831408,0.47024,0.59504,6.6745,4.3044,0.0010716,0.00059393,0.185761567179412,0.336410392289446
033,2.22018389995827,7.91167652599525,0.0860897160706891,0.6908,0.80073,10.521,22.473,0.0010476,0.00023805,0.240932361061484,0.604733670271763
035,2.78743257209184,7.70080820579807,0.211149373831884,0.47073,0.58252,10.18,11.234,0.0008977,0.00077631,0.249618356886936,0.542545909673682
036,1.65194675913343,4.1208922836834,0.555018978234315,0.44142,0.44308,7.9381,8.1599,0.0013463,0.00063837,0.197046146572248,0.422524767620802
037,2.07008171633457,7.36938683313788,0.136799328184058,0.56807,0.80621,10.096,16.823,0.0012662,0.00033241,0.229896535746543,0.736767020701648
038,1.57217063487053,7.62103169347087,0.399537904256141,0.43404,0.50159,4.0809,2.2791,0.0017213,0.00085698,0.137149150422065,0.262019603276868
039,1.18214034609789,6.31232046207865,0.0416964376166598,0.32667,0.75995,4.0472,8.1466,0.0016459,0.00044688,0.133912680816313,0.699085038206728
040,2.01168307246451,7.15244619662258,0.131015817142248,0.38341,0.40178,5.2716,4.694,0.0012915,0.00055101,0.156213392456084,0.361983950253811
042,1.9086313998957,6.91583546710394,0.29277317879044,0.51419,0.60823,8.3429,6.3821,0.0015827,0.0006868,0.20087424615744,0.46381812611637
043,0.937246624028192,6.64959926449101,0.0562534508592522,0.18661,0.41912,2.4684,4.3212,0.0022088,0.00039735,0.088634831460602,0.375649733359631
044,1.52998911857372,7.04396876964679,0.125271328485971,0.46451,0.61674,6.1411,8.2073,0.0019725,0.0011994,0.182218987950757,0.424375196807159
046,1.45103329278602,7.31581515654651,0.302049472734409,0.43446,0.59022,3.2,5.3946,0.0015273,0.00044747,0.110162369331949,0.453044801475236
048,1.67764188923993,7.60805131259481,0.271708747685527,0.51542,0.71474,5.4447,6.6483,0.0016618,0.00031061,0.161793020525221,0.482421612929492
